dur,res,educ,n,y
0-4,Suva,none,8,4
0-4,Suva,lower,21,23.94
0-4,Suva,upper,42,37.8
0-4,Suva,sec+,51,37.23
0-4,urban,none,12,14.04
0-4,urban,lower,27,22.95
0-4,urban,upper,39,40.95
0-4,urban,sec+,51,35.19
0-4,rural,none,62,60.14
0-4,rural,lower,102,97.92
0-4,rural,upper,107,103.79
05-Sep,rural,sec+,47,34.78
05-Sep,Suva,none,10,31
05-Sep,Suva,lower,30,80.1
05-Sep,Suva,upper,24,48.96
05-Sep,Suva,sec+,22,38.06
05-Sep,urban,none,13,59.02
05-Sep,urban,lower,37,98.05
05-Sep,urban,upper,44,117.92
05-Sep,urban,sec+,21,48.09
05-Sep,rural,none,70,170.8
05-Sep,rural,lower,117,317.07
05-Sep,rural,upper,81,200.07
05-Sep,rural,sec+,21,47.04
Oct-14,Suva,none,12,48.96
Oct-14,Suva,lower,27,99.09
Oct-14,Suva,upper,20,58
Oct-14,Suva,sec+,12,24
Oct-14,urban,none,18,75.06
Oct-14,urban,lower,43,143.19
Oct-14,urban,upper,29,104.98
Oct-14,urban,sec+,15,49.95
Oct-14,rural,none,88,364.32
Oct-14,rural,lower,132,546.48
Oct-14,rural,upper,50,197
Oct-14,rural,sec+,9,29.97
15-19,Suva,none,14,58.94
15-19,Suva,lower,31,153.14
15-19,Suva,upper,13,40.95
15-19,Suva,sec+,4,11
15-19,urban,none,23,108.1
15-19,urban,lower,42,225.12
15-19,urban,upper,20,92
15-19,urban,sec+,5,19
15-19,rural,none,114,576.84
15-19,rural,lower,86,480.74
15-19,rural,upper,30,135
15-19,rural,sec+,1,2
20-24,Suva,none,21,118.02
20-24,Suva,lower,18,91.08
20-24,Suva,upper,12,47.04
20-24,Suva,sec+,5,13
20-24,urban,none,22,117.92
20-24,urban,lower,25,147
20-24,urban,upper,13,65
20-24,urban,sec+,3,15.99
20-24,rural,none,117,755.82
20-24,rural,lower,68,431.12
20-24,rural,upper,23,132.02
20-24,rural,sec+,2,5
25-29,Suva,none,47,310.2
25-29,Suva,lower,27,181.98
25-29,Suva,upper,8,43.04
25-29,Suva,sec+,1,2
25-29,urban,none,46,299.92
25-29,urban,lower,45,337.95
25-29,urban,upper,13,98.02
25-29,rural,none,195,1458.6
25-29,rural,lower,59,460.79
25-29,rural,upper,10,58
